"repository_language","ForkEvent","IssuesEvent","PushEvent","WatchEvent"
"Ruby",3.08713069604407,5.08478197533262,7.94024006578799,5.99066550890033
"Rust",3.67,12.5858585858586,15.251056635672,7.47792207792208
"Scala",3.32035306334372,6.44578313253012,9.37061600719425,7.65393714092599
"Scheme",2.37966101694915,2.89473684210526,7.81377744133232,2.97411764705882
"Scilab",1.2962962962963,2.5,6.18918918918919,1.46153846153846
"Self",2.28571428571429,5,4.71428571428571,2.92307692307692
"Shell",2.84915733277504,4.86024518388792,8.12454957898471,5.07523701835261
"Slash",3.83333333333333,2.5,10.6909090909091,3.28571428571429
"Smalltalk",1.375,3.47058823529412,9.84397163120567,1.73469387755102
"Squirrel",1.71428571428571,3.42857142857143,5.54794520547945,1.69230769230769
"Standard ML",2.88888888888889,5.42857142857143,12.8274336283186,3.91228070175439
"SuperCollider",1.26923076923077,6.25,9.83076923076923,1.67741935483871
"Tcl",1.72151898734177,3.3125,8.73841961852861,2.22093023255814
"TeX",2.63737623762376,6.68247422680412,11.6381025248661,4.77252747252747
"Turing",1.125,2,10.8181818181818,1.5
"TypeScript",5.80841799709724,14.1391585760518,10.3799569628036,6.77902097902098
"UnrealScript",1.125,4,14.4615384615385,1
"Vala",3.06779661016949,8.87804878048781,17.8577586206897,7.20833333333333
"Verilog",1.92436974789916,4.5,10.1849315068493,2.15151515151515
"VHDL",1.48039215686275,1.95774647887324,10.068,2.1978021978022
"VimL",3.12911025145068,3.59886363636364,5.97808674625963,7.15054347826087
"Visual Basic",1.71074380165289,4.00884955752212,7.20315457413249,3.00682593856655
"wisp",1.16666666666667,22,14.8333333333333,1.30434782608696
"XC",1.55555555555556,1,8,1.79166666666667
"XProc",1.3,6,9.9,1.30434782608696
"XQuery",1.60606060606061,5.68421052631579,10.1333333333333,1.80851063829787
"XSLT",4.33207547169811,7.45714285714286,9.45104232469994,3.48101265822785
"Xtend",1.77777777777778,8.30769230769231,11.3943661971831,2.3
